Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1,4,10,0,3,0,1,6,14,15200
0,6,7,2,3,1,1,8,17,19215
0,0,20,0,2,1,1,2,5,15665
1,1,9,0,2,0,5,8,14,5378
1,1,9,0,2,0,2,3,4,13055
0,3,1,2,2,1,1,14,16,11788
0,0,12,1,1,1,1,5,15,19614
0,0,12,1,1,1,1,8,14,11927
0,0,17,1,0,0,5,8,14,5391
1,3,1,2,1,1,2,4,8,16352
1,3,1,2,1,1,2,4,9,12909
1,3,1,2,1,1,1,11,15,15212
1,3,1,2,1,1,1,2,5,15705
1,3,1,2,1,1,1,15,16,18963
1,3,1,2,1,1,2,4,9,16406
1,3,1,2,1,1,6,10,13,12642
1,3,1,2,1,1,1,6,8,11562
1,0,1,1,2,0,1,2,5,19327
0,6,1,1,4,1,1,5,6,12107
0,0,7,0,2,0,1,2,6,11458
1,3,0,1,0,1,1,2,15,11755
0,1,1,1,0,0,1,6,15,15872
0,1,1,1,0,0,1,15,17,15172
1,2,3,2,4,0,3,4,9,10754
1,2,3,2,4,0,4,8,9,2802
1,2,3,2,4,0,1,2,5,19473
1,2,3,2,4,0,1,14,16,19313
1,2,3,2,4,0,1,2,13,15182
1,2,3,2,4,0,2,3,15,15985
1,2,3,2,4,0,2,9,14,16454
1,2,3,2,4,0,3,4,5,13551
1,2,3,2,4,0,5,6,13,5430
0,4,10,0,4,0,1,11,15,7746
0,4,10,0,4,0,1,2,15,11959
0,4,10,0,4,0,1,2,15,19172
0,4,10,0,4,0,3,4,12,8290
0,4,10,0,4,0,1,2,4,4211
0,2,15,0,1,0,1,8,17,12099
0,2,15,0,1,0,1,11,16,12098
0,2,15,0,1,0,2,4,15,9564
0,3,0,2,4,1,1,2,3,15766
0,3,0,2,4,1,1,6,8,15354
0,3,0,2,4,1,1,6,16,12015
0,3,0,2,4,1,1,2,5,15371
0,3,0,2,4,1,1,2,15,19239
0,3,0,2,4,1,2,8,14,16137
0,3,0,2,4,1,1,2,15,11887
0,3,0,2,4,1,1,5,12,7601
