city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
2,70,2,1,1,7,1,0,2065,3300,211,42,5618
2,320,4,4,0,20,1,1,1200,4960,1750,63,7973
0,80,1,1,1,6,1,1,1000,2800,0,41,3841
0,51,2,1,0,2,1,1,270,1112,22,17,1421
2,25,1,1,0,1,0,1,0,800,25,11,836
2,376,3,3,7,0,1,1,0,8000,834,121,8955
4,72,2,1,0,7,1,1,740,1900,85,25,2750
2,213,4,4,4,4,1,1,2254,3223,1735,41,7253
2,152,2,2,1,3,1,0,1000,15000,250,191,16440
4,35,1,1,0,2,1,0,590,2300,35,30,2955
2,26,1,1,0,2,1,0,470,2100,150,27,2747
3,46,1,1,1,10,1,1,550,580,43,8,1181
2,36,1,1,0,11,1,1,359,2100,70,27,2556
2,55,1,1,1,2,1,0,790,4200,224,54,5268
2,100,2,2,2,24,1,0,900,4370,17,56,5343
3,330,4,6,6,0,1,0,680,8000,328,121,9129
2,110,2,2,1,1,1,1,700,3000,122,39,3861
4,88,2,3,1,9,0,0,1614,3500,221,16,5351
4,56,2,1,0,8,1,1,800,1220,0,16,2036
2,600,4,5,6,0,1,1,0,12000,9500,181,21680
2,100,7,4,0,0,1,1,0,3800,118,58,3976
1,42,1,1,1,17,0,0,470,2690,172,36,3368
2,160,3,2,2,18,1,0,1530,1900,167,25,3622
2,35,1,1,0,0,1,1,0,1100,3,14,1117
4,90,3,2,1,7,1,1,800,1800,118,24,2742
2,49,1,1,1,10,1,1,480,3500,42,45,4067
2,41,1,1,1,5,0,0,600,3000,0,39,3639
1,64,2,2,1,11,1,1,352,1500,80,20,1952
3,208,3,2,4,0,1,1,0,3180,100,48,3328
2,20,1,1,0,5,1,0,602,1800,130,23,2555
2,55,2,2,2,6,1,1,780,1068,142,14,2004
2,32,1,1,0,3,1,1,515,1700,29,22,2266
2,80,2,2,1,11,1,1,1208,2550,216,33,4007
4,45,1,1,1,10,1,0,2450,2500,593,33,5576
2,350,4,4,3,8,1,1,2100,4000,500,51,6651
0,38,1,1,2,11,0,1,450,1750,0,26,2226
2,30,1,1,0,1,1,1,460,1600,0,21,2081
1,80,3,2,1,0,1,1,0,11000,425,181,11610
2,70,2,1,0,0,0,1,0,1150,59,18,1227
0,40,1,1,1,6,1,0,390,2990,0,44,3424
2,300,4,6,4,20,1,1,3700,12000,1584,153,17440
2,240,3,2,3,0,1,1,0,3500,292,53,3845
1,200,4,2,1,7,0,1,850,2550,9,34,3443
1,45,1,1,1,5,1,1,500,1631,192,12,2335
2,360,4,5,0,1,1,1,4000,6410,2000,82,12490
2,40,1,1,1,10,1,0,978,2829,0,33,3840
1,100,3,1,0,13,0,1,700,1220,10,17,1947
0,42,1,1,2,2,1,0,190,1770,17,26,2003
3,250,3,3,2,1,1,1,2200,1700,256,22,4178
3,48,1,1,1,2,1,0,505,1600,59,21,2185
4,90,3,3,1,10,1,1,1250,3800,147,49,5246
2,45,1,2,1,15,1,0,856,3900,150,50,4956
4,150,2,3,4,6,1,1,1700,4000,700,52,6452
2,60,2,1,0,2,1,1,200,1445,0,19,1664
2,31,1,1,0,4,1,1,370,2350,56,30,2806
2,210,4,5,4,4,0,1,1650,9000,772,115,11540
2,280,3,1,2,0,1,1,0,6000,113,91,6204
3,93,2,3,2,9,1,1,663,5500,133,70,6366
0,75,3,2,1,9,1,1,340,1800,109,27,2276
2,194,3,4,3,0,1,1,0,4000,70,61,4131
2,41,1,1,1,6,1,0,523,4000,131,51,4705
4,65,1,1,1,8,1,0,2000,5100,250,66,7416
2,70,2,1,1,13,1,1,761,2150,67,28,3006
2,278,4,5,2,16,1,0,4052,9000,1261,115,14430
4,35,1,1,0,5,1,1,306,1521,21,20,1868
3,300,4,4,3,2,1,1,2300,6000,417,77,8794
2,61,2,1,1,4,1,1,459,1850,0,24,2333
4,130,3,2,1,7,1,1,1660,1700,475,22,3857
4,80,2,1,1,20,1,1,500,900,90,12,1502
2,164,4,4,2,6,0,1,2159,5000,386,64,7609
1,220,4,2,3,3,1,1,450,2422,125,33,3030
2,45,1,1,0,0,1,1,0,1050,46,16,1112
2,108,3,2,2,7,1,1,1290,5600,435,71,7396
1,128,1,1,0,4,1,0,418,2100,182,28,2728
4,60,1,1,0,10,0,1,450,1800,48,24,2322
2,250,4,5,4,6,1,1,2050,9800,998,125,12970
0,47,1,1,1,1,0,0,400,2200,0,33,2633
1,170,4,3,4,9,0,1,744,2700,296,36,3776
2,45,1,1,0,1,0,1,300,1240,0,16,1556
2,42,1,1,1,15,1,1,686,3500,123,45,4354
2,164,4,4,3,1,1,1,1840,6000,550,77,8467
2,70,3,1,1,1,1,1,700,1020,200,13,1933
0,100,4,3,1,8,1,1,600,2200,159,33,2992
2,64,2,2,2,4,1,0,1300,4500,440,58,6298
1,68,2,1,1,3,1,1,320,1200,27,16,1563
1,75,2,2,2,14,0,1,620,2500,264,34,3418
2,600,4,4,4,9,1,1,7400,8500,3368,108,19380
2,63,2,2,0,15,0,1,590,1550,152,20,2312
2,145,3,4,3,1,0,1,1200,6000,750,77,8027
2,85,2,2,2,3,0,1,1500,2800,292,36,4628
2,254,4,4,4,7,1,1,3366,9000,1800,115,14280
0,350,4,4,4,0,1,0,1,9000,359,160,9520
2,300,4,4,3,0,1,1,0,3500,584,53,4137
1,296,4,3,2,0,1,1,0,13500,423,222,14150
2,64,2,2,2,8,1,1,450,2800,30,36,3316
2,133,3,2,0,6,1,1,813,2957,38,38,3846
3,44,1,1,0,7,1,1,350,550,12,7,919
3,240,3,4,2,0,1,1,0,3000,250,46,3296
0,70,3,2,1,4,1,1,490,2500,8,37,3035
2,22,1,1,0,26,1,1,302,2050,45,26,2423
0,50,1,1,1,1,1,1,350,950,50,14,1364
0,67,3,2,2,4,1,1,600,2200,50,33,2883
2,31,1,1,0,6,1,0,430,2300,0,30,2760
4,90,2,1,1,1,1,0,850,3468,191,45,4554
4,109,3,3,1,1,1,1,2000,3800,300,49,6149
1,400,4,2,2,0,0,1,0,2500,74,41,2615
2,300,4,5,4,0,1,0,0,14000,1167,211,15380
3,284,4,3,3,4,1,1,2340,6000,483,77,8900
0,70,2,1,1,3,1,0,360,2400,30,36,2826
4,309,4,5,4,7,1,1,2661,6500,682,84,9927
2,70,2,1,0,0,1,1,0,2100,134,32,2266
2,360,3,4,1,10,1,1,2300,10000,584,127,13010
2,30,1,1,1,10,0,1,886,1500,0,20,2406
3,80,2,2,2,11,1,1,832,2200,171,28,3231
1,133,4,4,3,6,0,1,1500,7000,800,94,9394
2,38,1,1,1,14,0,0,1620,2800,279,36,4735
2,73,2,2,1,7,1,1,1100,3500,100,45,4745
2,155,3,4,2,4,1,1,1500,2000,150,26,3676
2,63,2,2,1,15,1,1,357,3200,50,41,3648
2,58,2,1,1,1,1,1,0,1400,0,18,1418
2,48,1,1,0,9,0,0,377,3450,0,44,3871
2,210,3,4,3,7,1,1,1700,2790,834,36,5360
1,100,3,2,2,2,1,1,340,1600,183,22,2145
2,94,3,2,2,1,1,1,1337,3570,140,46,5093
2,94,3,3,2,3,1,0,1220,5010,395,64,6689
2,76,3,1,1,4,1,1,1200,2500,267,32,3999
2,192,3,3,2,13,1,1,2100,7800,634,99,10630
2,217,3,4,3,1,1,1,2884,6500,0,83,9467
2,68,2,1,1,5,1,1,610,1400,35,18,2063
2,110,3,2,2,2,1,1,1145,2400,247,31,3823
1,95,2,2,1,3,1,1,660,1600,164,22,2446
2,900,4,6,8,0,1,1,0,15000,4417,226,19640
2,34,1,1,0,5,0,1,347,1200,45,16,1608
2,192,3,4,3,5,1,1,2000,8000,0,102,10100
0,62,2,2,1,9,1,1,350,1800,75,27,2252
2,180,3,3,4,0,1,1,0,3700,184,56,3940
3,44,1,1,0,3,1,0,350,916,12,12,1290
1,100,2,1,1,1,0,1,250,1700,116,23,2089
4,140,3,3,1,24,0,1,900,1370,100,18,2388
2,170,3,3,3,8,1,0,1570,2800,648,36,5054
2,100,3,2,2,0,0,1,0,1600,150,25,1775
2,75,3,2,2,4,1,1,652,1600,82,21,2355
4,52,2,1,0,2,1,1,200,1200,43,16,1459
3,999,5,7,8,0,1,1,0,14000,667,211,14880
2,270,4,4,4,8,1,1,2200,7000,1500,89,10790
1,50,2,1,1,1,1,1,160,930,60,13,1163
3,200,3,3,2,0,1,1,650,2210,184,34,3078
2,71,2,2,0,16,1,1,430,1920,100,25,2475
2,500,5,4,6,0,1,1,0,13000,250,196,13450
2,60,2,1,0,0,1,1,0,1080,94,17,1191
2,110,2,1,0,8,1,1,1100,1300,84,17,2501
2,210,3,3,4,0,1,1,0,3294,276,50,3620
2,220,3,4,3,8,1,1,2021,6000,996,77,9094
1,200,3,2,5,0,0,1,0,4000,204,66,4270
2,130,3,4,3,2,1,1,2300,4250,502,54,7106
2,65,2,2,2,7,1,0,1037,4000,245,51,5333
2,96,3,2,2,17,1,1,804,3200,250,41,4295
2,660,4,5,5,12,1,0,4800,20000,1750,254,26800
4,107,3,2,0,7,1,0,1460,3200,270,42,4972
4,105,3,2,0,1,1,1,740,2200,9,29,2978
4,100,3,2,0,7,1,1,900,3290,109,43,4342
2,287,3,4,4,0,1,0,0,9000,430,136,9566
3,24,1,1,0,1,0,0,230,1180,9,15,1434
2,22,1,1,0,0,0,1,0,976,0,15,991
2,70,1,1,1,0,0,1,0,2529,142,39,2710
0,44,1,1,1,2,1,0,250,1500,17,22,1789
2,150,3,2,2,0,0,1,0,2500,0,38,2538
2,90,1,2,2,9,1,0,998,2900,220,37,4155
2,200,4,4,2,8,1,0,3000,2800,830,36,6666
2,320,8,4,0,0,1,1,450,10500,350,158,11460
0,90,2,1,1,2,0,1,550,1700,110,25,2385
2,240,4,4,3,9,1,1,2500,2144,834,28,5506
2,154,4,3,3,21,1,1,1684,7000,1020,89,9793
2,60,2,2,2,2,1,1,2340,3230,284,41,5895
3,101,3,2,0,5,1,1,780,2380,91,31,3282
0,140,3,4,2,0,0,1,0,3090,0,55,3145
2,500,4,5,8,0,1,1,0,15000,1850,226,17080
2,110,3,3,3,4,1,1,1195,2350,687,30,4262
2,110,3,3,2,0,1,1,0,4800,50,73,4923
1,90,2,2,2,3,1,1,200,2000,84,27,2311
2,384,4,6,4,3,0,0,3500,15000,344,191,19040
2,57,2,1,1,7,1,1,570,1500,67,20,2157
2,160,3,3,2,5,1,0,1650,1500,419,20,3589
2,39,1,1,0,8,1,1,330,1250,19,16,1615
3,78,1,2,1,4,1,1,0,2290,143,30,2463
0,36,1,1,1,0,1,1,0,762,15,14,791
3,70,2,1,1,1,1,1,558,1200,0,16,1774
1,45,1,1,1,4,0,0,300,3200,0,43,3543
2,200,3,4,3,1,1,1,3500,8500,1250,108,13360
2,100,3,3,3,0,1,1,0,4300,120,65,4485
2,42,1,1,1,14,0,1,0,5000,0,64,5064
2,280,4,4,1,1,1,0,3000,8000,292,102,11390
2,28,1,1,1,13,0,0,615,2800,42,36,3493
2,30,1,1,0,0,0,0,296,1826,30,24,2176
1,85,3,2,1,1,1,1,337,1500,88,20,1945
3,83,1,1,1,4,0,1,500,1080,59,14,1653
3,85,3,2,2,16,1,0,550,3300,150,42,4042
1,90,3,2,2,3,1,1,325,1600,105,22,2052
1,50,2,1,0,5,1,1,0,900,100,12,1012
4,50,1,1,0,8,1,1,600,2900,134,38,3672
1,300,3,2,3,0,0,1,0,6700,539,110,7349
0,39,1,1,0,7,1,1,350,850,27,13,1240
2,750,4,4,6,0,1,1,0,15000,2084,226,17310
0,60,2,1,0,1,1,1,222,1100,46,17,1385
4,68,2,1,0,4,0,1,750,1250,9,17,2026
2,70,2,1,1,0,1,1,230,1250,50,16,1546
2,90,2,2,1,6,1,0,900,6500,89,83,7572
4,258,5,6,0,0,1,1,0,8700,670,133,9503
2,200,2,2,6,0,1,1,0,4500,292,68,4860
2,123,2,2,2,6,1,1,1800,2990,625,38,5453
2,127,3,2,2,0,1,0,220,2150,67,33,2470
1,180,4,2,2,0,1,1,0,1800,210,30,2040
2,110,3,2,0,0,0,1,0,2900,384,44,3328
4,70,2,2,1,7,1,0,585,1719,77,23,2404
2,35,1,1,1,8,1,0,720,3000,130,39,3889
2,219,3,2,2,0,1,1,0,2900,150,44,3094
4,25,1,1,0,0,1,1,50,700,0,10,760
4,170,4,5,0,10,1,1,1200,7100,639,92,9031
4,45,1,1,0,8,1,1,900,1570,98,21,2589
1,420,4,4,2,0,0,1,0,7000,200,115,7315
0,46,1,1,0,4,1,1,0,1040,48,16,1104
2,145,3,3,2,1,1,0,1088,5800,250,74,7212
1,59,2,2,1,2,1,1,190,1100,59,15,1364
1,225,4,3,0,8,1,1,1850,7500,466,100,9916
2,210,4,4,3,3,1,1,2270,4675,1110,60,8115
0,76,1,1,0,0,1,1,209,1249,52,19,1529
2,220,3,4,3,2,0,1,2500,5150,1250,66,8966
2,109,3,2,2,7,1,1,1746,2500,134,32,4412
1,95,2,1,1,3,1,1,646,1000,120,14,1780
2,32,1,1,0,0,0,1,280,1500,50,20,1850
2,480,4,6,5,9,1,1,6660,15000,3063,191,24910
2,53,1,1,1,3,1,1,694,4390,200,56,5340
2,40,1,1,0,0,0,1,0,780,17,12,809
2,50,1,1,1,4,1,0,500,3223,100,41,3864
2,60,1,1,0,0,1,1,0,1300,255,20,1575
0,64,2,2,2,7,0,1,450,1500,50,22,2022
4,140,3,3,2,4,1,0,2280,12000,535,155,14970
2,121,3,3,1,12,1,1,800,2040,334,26,3200
3,43,1,1,1,4,1,0,498,2100,84,27,2709
2,20,1,1,1,3,0,0,1700,1360,0,18,3078
3,58,2,1,1,3,1,1,289,950,11,13,1263
1,570,5,6,7,0,1,0,0,8330,873,137,9340
2,88,2,1,1,2,1,1,980,2790,0,36,3806
2,89,3,2,2,19,1,1,900,6000,184,77,7161
0,47,1,1,1,1,0,0,400,2200,0,33,2633
2,40,1,1,0,0,1,1,0,1100,50,17,1167
4,40,1,1,0,1,1,0,386,1950,91,26,2453
4,60,1,2,1,3,1,1,400,750,80,10,1240
2,25,1,1,0,14,1,1,257,1650,0,21,1928
0,50,2,1,0,13,1,1,340,1130,30,17,1517
0,90,3,1,0,1,1,1,145,1130,55,17,1347
2,173,3,3,3,2,1,1,3000,2000,825,26,5851
3,91,3,2,2,12,1,1,700,2250,175,29,3154
2,90,3,2,2,6,0,1,1710,1200,109,16,3035
2,530,5,6,4,2,1,0,8300,15000,5000,191,28490
1,155,1,4,0,4,0,1,1117000,2790,64,38,1120000
2,40,1,1,0,0,0,1,0,1300,0,17,1317
2,296,4,5,3,3,1,1,0,15000,0,191,15190
2,87,3,2,1,17,1,1,850,1400,200,18,2468
2,300,3,3,5,0,1,1,0,5000,584,76,5660
2,136,3,3,3,13,1,1,1430,4206,364,54,6054
2,52,2,1,0,4,1,1,0,1340,0,17,1357
0,94,2,2,2,8,1,1,600,2900,230,43,3773
4,300,4,5,3,7,1,1,3850,12750,750,165,17520
4,100,3,3,1,3,1,1,850,3229,100,42,4221
2,500,4,6,3,0,1,1,6466,7300,2536,110,16410
2,240,3,4,3,3,1,0,3600,4950,1000,63,9613
1,308,2,3,3,0,1,1,0,2000,171,33,2204
2,350,4,5,4,15,1,0,2700,4590,1334,59,8683
2,75,2,2,0,2,1,1,570,1450,0,19,2039
2,155,3,2,3,4,1,0,2600,11700,667,149,15120
2,260,3,5,4,12,1,1,2227,6000,1468,77,9772
2,80,2,2,1,0,0,1,0,1500,184,23,1707
4,85,3,1,1,6,1,1,810,1998,87,26,2921
2,120,2,2,2,22,0,0,1400,3500,375,45,5320
2,100,2,2,1,0,1,1,0,1970,0,30,2000
2,240,4,5,4,6,0,1,1869,3500,717,45,6131
2,360,7,6,6,0,1,1,0,5270,245,80,5595
2,42,1,1,0,0,0,1,0,1100,0,17,1117
2,33,1,1,1,14,1,0,600,2800,112,36,3548
4,48,1,1,0,1,0,1,626,1020,53,14,1713
4,36,1,1,0,5,1,1,350,1130,42,15,1537
2,270,6,3,6,0,1,1,0,4500,417,68,4985
3,75,2,1,1,2,1,1,670,1200,121,16,2007
4,46,2,1,0,3,0,1,270,1600,0,21,1891
2,350,3,3,3,0,0,1,0,10000,1292,151,11440
0,131,3,3,1,10,1,0,1625,1750,121,26,3522
3,90,3,2,1,3,1,1,920,1300,129,17,2366
