fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
1,1,0,0,22.9,31.3
1,3,0,0,96.2,86.6
1,9,0,0,18.1,47.2
1,2,0,0,8.9,15.4
1,13,0,0,2.8,8.1
1,12,0,0,22.4,11.3
1,4,0,0,5.7,5.3
1,10,0,0,7.6,6.1
1,6,0,0,6.6,12.1
1,5,0,0,6.8,7.5
1,8,0,0,3.9,8.3
1,0,0,0,9.6,8.1
1,11,0,0,8.0,2.3
1,16,0,0,2.4,2.6
1,7,0,0,5.9,3.6
1,14,0,0,1.4,1.4
1,15,0,0,0.0,0.8
3,1,0,0,7.3,35.5
3,3,0,0,338.6,344.1
3,9,0,0,54.5,149.7
3,2,0,0,36.2,42.0
3,13,0,0,8.4,12.0
3,12,0,0,96.6,70.5
3,4,0,0,33.1,28.6
3,10,0,0,26.8,46.8
3,6,0,0,54.7,65.5
3,5,0,0,13.1,31.0
3,8,0,0,24.8,49.7
3,0,0,0,48.4,45.1
3,11,0,0,62.3,50.7
3,16,0,0,15.2,8.2
3,7,0,0,23.4,20.7
3,14,0,0,3.3,7.7
3,15,0,0,11.1,2.4
9,1,0,0,12.8,41.1
9,3,0,0,293.2,275.0
9,9,0,0,112.8,290.9
9,2,0,0,82.0,92.3
9,13,0,0,4.4,34.1
9,12,0,0,128.1,68.3
9,4,0,0,59.0,50.7
9,10,0,0,35.4,49.2
9,6,0,0,49.8,71.9
9,5,0,0,28.5,31.7
9,8,0,0,28.6,62.5
9,0,0,0,72.9,59.0
9,11,0,0,82.9,46.7
9,16,0,0,13.0,7.9
9,7,0,0,52.8,31.7
9,14,0,0,5.4,4.5
9,15,0,0,5.2,5.1
2,1,0,0,6.5,17.4
2,3,0,0,114.0,104.8
2,9,0,0,29.1,95.3
2,2,0,0,40.5,60.8
2,13,0,0,1.7,10.0
2,12,0,0,67.9,36.4
2,4,0,0,26.3,18.8
2,10,0,0,12.4,19.6
2,6,0,0,23.1,27.6
2,5,0,0,6.1,11.9
2,8,0,0,9.5,29.9
2,0,0,0,26.7,22.3
2,11,0,0,30.2,21.5
2,16,0,0,4.7,3.3
2,7,0,0,18.9,12.8
2,14,0,0,1.3,0.8
2,15,0,0,4.0,2.6
13,1,0,0,16.2,27.0
13,3,0,0,165.7,150.6
13,9,0,0,58.4,187.3
13,2,0,0,46.0,73.2
13,13,0,0,29.1,74.9
13,12,0,0,97.1,53.3
13,4,0,0,76.1,28.3
13,10,0,0,29.0,51.0
13,6,0,0,41.6,52.7
13,5,0,0,30.8,46.7
13,8,0,0,23.6,31.2
13,0,0,0,59.7,50.3
13,11,0,0,79.5,52.0
13,16,0,0,19.1,8.7
13,7,0,0,54.5,22.0
13,14,0,0,11.0,10.6
13,15,0,0,11.5,4.9
12,1,0,0,1.9,9.9
12,3,0,0,154.3,153.1
12,9,0,0,32.7,110.9
12,2,0,0,22.2,29.9
12,13,0,0,4.1,14.1
12,12,0,0,110.3,64.4
12,4,0,0,27.3,14.1
12,10,0,0,16.6,38.7
12,6,0,0,36.9,35.3
12,5,0,0,9.8,27.6
12,8,0,0,15.1,36.7
12,0,0,0,52.0,40.2
12,11,0,0,63.2,47.6
12,16,0,0,19.6,10.2
12,7,0,0,27.8,24.6
12,14,0,0,2.3,3.2
12,15,0,0,8.9,3.6
4,1,0,0,4.7,18.3
4,3,0,0,60.0,45.6
4,9,0,0,16.4,57.1
4,2,0,0,17.3,31.9
4,13,0,0,2.3,22.7
4,12,0,0,44.2,28.9
4,4,0,0,38.1,15.3
4,10,0,0,10.3,17.7
4,6,0,0,16.7,27.7
4,5,0,0,5.9,11.7
4,8,0,0,7.4,14.7
4,0,0,0,34.7,18.0
4,11,0,0,35.5,22.8
4,16,0,0,9.8,4.6
4,7,0,0,10.5,9.5
4,14,0,0,2.9,2.0
4,15,0,0,3.1,0.0
10,1,0,0,7.3,13.7
10,3,0,0,193.8,222.0
10,9,0,0,46.6,148.9
10,2,0,0,31.4,64.4
10,13,0,0,2.3,34.0
10,12,0,0,157.7,97.9
10,4,0,0,46.4,28.4
10,10,0,0,138.3,185.8
10,6,0,0,61.3,118.3
10,5,0,0,25.8,53.3
10,8,0,0,50.7,61.6
10,0,0,0,91.9,84.1
10,11,0,0,236.9,172.0
10,16,0,0,72.8,20.7
10,7,0,0,66.1,38.9
10,14,0,0,7.3,6.2
10,15,0,0,11.9,3.1
6,1,0,0,6.4,10.9
6,3,0,0,194.2,208.3
6,9,0,0,46.6,165.1
6,2,0,0,33.2,57.1
6,13,0,0,2.7,40.1
6,12,0,0,152.6,103.7
